judul,sumber,tanggal,episode,label_leksikon,label_audit
PP Hima Persis Soroti Izin Ekspor Pasir Laut Setelah 20 Tahun Dilarang,RM.ID,2023-06-07 07:00:00,E1_pp_disahkan,menolak,
"Ekspor Pasir Laut Bikin Heboh, KKP Buka Suara",finance.detik.com,2024-01-02 08:00:00,E2_aturan_persiapan,netral,
"Imbas Tambang Pasir Laut, Daerah Ini Kumpulkan Pajak Melebihi Target",DDTCNews,2024-09-24 07:00:00,E3_ekspor_dibuka,netral,
5 Kegunaan Pasir Laut: Jadi Sumber Energi hingga Bahan Peranti Elektronik,Tempo.co,2023-06-01 07:00:00,E1_pp_disahkan,netral,
Penambangan Pasir Laut Era Jokowi,Validnews.id,2024-10-07 07:00:00,E3_ekspor_dibuka,netral,
PT AMG Hanya Beri CSR Tambang Pasir Rp 410 Juta ke Desa Pohgading,detikcom,2023-03-16 07:00:00,E0_sebelum_pp,netral,
Gerindra Minta Pemerintah Tunda Keputusan Buka Kembali Ekspor Pasir Laut,Forum Keadilan,2024-09-23 07:00:00,E3_ekspor_dibuka,menolak,
Emangnya Jual Pasir Laut Nguntungin?,PinterPolitik.com,2023-06-05 07:00:00,E1_pp_disahkan,netral,
Pengerukan Pasir Laut di Desa Numbing Bakal Mengukir Penderitaan Panjang Masyarakat Nelayan,SERGAP,2025-05-20 07:00:00,E3_ekspor_dibuka,menolak,
"Dugaan Pasir Laut Ilegal Masuk Proyek Sekolah: Agustinus Halawa Terima Laporan Media, Komitmen Tindak Tegas Jika Terbukti",Kupasonline.com,2026-08-03 07:00:00,E4_pasca_putusan_ma,menolak,
Operasional Kapal Keruk Pasir di Laut Dihentikan KKP,Ngopibareng.id,2024-10-21 07:00:00,E3_ekspor_dibuka,netral,
Pemkab pulihkan mangrove di Pulau Biawak akibat pengerukan pasir laut,ANTARA News,2025-10-09 07:00:00,E4_pasca_putusan_ma,netral,
Dampak Global Penambangan Pasir Laut dan Langkah yang Diperlukan,Tempo.co,2023-05-31 07:00:00,E1_pp_disahkan,netral,
"KKP Beberkan Masih Maraknya Praktik Tambang Pasir Ilegal, Lokasinya di-Spill Pak Dirjen PSDKP - disway.id",Disway,2024-06-14 07:00:00,E2_aturan_persiapan,netral,
Nelayan Sebut Aturan Ekspor Pasir Laut Jokowi Lebih Buruk dari Mega,CNN Indonesia,2023-05-31 07:00:00,E1_pp_disahkan,menolak,
Nelayan Tak Mau Ada Tambang Pasir di Perairan Rupat,Mongabay.co.id,2022-04-14 07:00:00,E0_sebelum_pp,menolak,
Pengerukan Pasir Laut di Sekitar Golden Prawn Jadi Perhatian Masyarakat Bengkong,Detik Global News,2025-01-18 08:00:00,E3_ekspor_dibuka,netral,
Ditpolairud Polda Kepri Tangkap Tiga Kapal Tambang Pasir Laut di Karimun,gokepri,2024-05-02 07:00:00,E2_aturan_persiapan,netral,
"Pemerintah Tetapkan Lokasi Pengerukan Pasir Laut, Untung atau Buntung?",Mongabay.co.id,2024-04-09 07:00:00,E2_aturan_persiapan,netral,
Komisi VII DPR RI Tolak Pengeluaran Izin Pemanfaatan Ruang Laut oleh KKP Untuk Tambang Pasir Laut di Bintan,Presmedia,2026-07-23 07:00:00,E4_pasca_putusan_ma,menolak,
"Shopie’s Library, Literasi Diantara Bulir Pasir Laut",Popularitas.com,2025-11-14 08:00:00,E4_pasca_putusan_ma,netral,
DKP Amankan 4 Kapal Penambang Pasir Ilegal di Perairan Riau,Oketimes.com,2024-08-23 07:00:00,E2_aturan_persiapan,netral,
"Dugaan proyek TPT gunakan Pasir Laut, Ombudsman Banten angkat bicara",ombudsman.go.id,2022-05-22 07:00:00,E0_sebelum_pp,netral,
"PP Tumpang Tindih, DPR Tolak Ekspor Pasir Laut",Epaper Media Indonesia,2023-06-14 07:00:00,E1_pp_disahkan,menolak,
